               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099988,            0.055497,            0.053947,             0.12575,             0.23992,            0.080832,            0.026772,            0.077136,            0.047209,            0.053935,             0.00054,             0.00054,             0.09514
                   1,            0.069296,            0.050373,            0.052068,             0.13156,             0.47981,             0.12883,            0.063249,            0.053986,            0.029895,            0.053384,             0.00109,             0.00109,             0.09019
                   2,            0.054745,            0.033472,            0.050761,             0.14381,             0.63133,             0.16126,            0.077322,            0.041064,            0.024977,            0.052446,           0.0016399,           0.0016399,             0.08524
                   3,            0.059859,            0.030011,            0.050212,             0.10997,             0.49144,              0.1352,              0.0604,            0.054683,            0.021593,            0.051569,           0.0021898,           0.0021898,             0.08029
                   4,            0.052378,            0.028493,            0.049901,             0.17143,             0.52238,             0.19193,             0.10188,            0.042062,            0.020197,             0.05125,           0.0027396,           0.0027396,             0.07534
                   5,            0.047407,            0.026781,            0.049415,             0.15556,             0.60206,             0.20917,             0.10235,            0.042655,             0.01925,            0.051398,           0.0032893,           0.0032893,            0.070389
                   6,            0.043991,            0.024136,            0.048407,             0.24758,              0.4975,             0.27965,             0.17334,            0.039002,            0.017926,            0.049871,           0.0038388,           0.0038388,            0.065439
                   7,            0.042469,            0.025177,            0.045938,             0.17077,             0.70033,             0.26113,             0.15792,            0.038287,            0.018609,            0.047268,           0.0043881,           0.0043881,            0.060488
                   8,            0.041496,            0.024949,            0.043438,              0.2793,             0.56594,             0.34109,             0.20636,            0.035167,            0.017662,              0.0467,           0.0049372,           0.0049372,            0.055537
                   9,            0.048407,            0.024194,            0.041835,             0.22747,             0.58122,             0.32539,             0.19499,            0.041958,            0.017793,            0.044354,           0.0054861,           0.0054861,            0.050586
                  10,            0.045926,            0.023492,            0.040034,             0.49379,             0.30731,             0.35405,             0.18595,            0.041993,             0.01743,            0.044494,           0.0060346,           0.0060346,            0.045635
                  11,            0.043091,             0.02334,            0.035505,             0.24276,             0.62501,             0.36518,             0.19992,            0.038041,            0.017209,            0.040933,           0.0065829,           0.0065829,            0.040683
                  12,            0.041565,            0.023132,            0.033117,             0.39214,             0.58185,             0.49866,             0.29334,            0.038253,            0.017838,            0.038423,           0.0071309,           0.0071309,            0.035731
                  13,            0.039087,            0.021678,            0.030545,             0.38428,             0.58143,              0.4784,             0.30128,            0.033545,            0.017273,            0.038951,           0.0076785,           0.0076785,            0.030778
                  14,             0.04096,            0.023396,            0.027788,             0.50276,             0.55316,             0.57971,             0.37657,            0.032573,            0.017164,            0.035558,           0.0082257,           0.0082257,            0.025826
                  15,            0.042823,             0.02404,            0.024665,             0.38937,             0.53878,             0.49221,              0.2131,            0.043615,            0.018435,            0.034422,           0.0087724,           0.0087724,            0.020872
                  16,             0.04112,            0.022143,            0.023332,             0.51665,             0.69162,             0.62559,             0.38757,            0.035885,            0.017477,            0.032138,           0.0093188,           0.0093188,            0.015919
                  17,            0.041521,            0.024001,            0.020742,             0.54261,             0.61548,             0.59447,             0.36803,            0.038959,            0.017852,            0.027562,           0.0098646,           0.0098646,            0.010965
                  18,            0.038448,            0.020332,            0.018394,             0.50204,             0.69155,             0.61592,             0.35764,            0.039884,               0.018,            0.026902,           0.0099713,           0.0099713,           0.0099713
                  19,            0.039855,            0.022683,            0.018079,             0.62083,             0.64403,             0.67362,             0.43491,            0.034558,            0.018077,            0.030255,           0.0099713,           0.0099713,           0.0099713
                  20,             0.03393,            0.021472,            0.018597,               0.616,             0.57393,             0.62482,             0.40718,            0.035332,            0.018229,            0.031694,            0.009968,            0.009968,            0.009968
                  21,            0.035886,            0.020884,            0.021429,             0.73131,             0.55262,             0.63227,             0.40132,            0.038738,            0.020632,            0.028923,           0.0099645,           0.0099645,           0.0099645
                  22,            0.035416,            0.022876,            0.017071,             0.69162,             0.60488,             0.67635,             0.43062,            0.036442,            0.018877,            0.026465,           0.0099609,           0.0099609,           0.0099609
                  23,            0.034449,            0.021934,            0.016078,             0.73343,             0.64545,              0.7061,               0.475,            0.032823,            0.018728,            0.024136,           0.0099571,           0.0099571,           0.0099571
                  24,            0.031728,            0.021534,            0.014007,             0.72333,             0.69886,             0.73169,             0.49785,            0.030907,            0.018575,            0.024153,           0.0099531,           0.0099531,           0.0099531
                  25,            0.032008,            0.022766,            0.012808,             0.81879,             0.71045,             0.79524,             0.53167,             0.03035,            0.018501,            0.019586,           0.0099489,           0.0099489,           0.0099489
                  26,            0.031104,            0.021217,            0.011935,             0.78481,             0.68975,              0.7949,             0.55289,            0.031751,            0.017425,            0.017629,           0.0099446,           0.0099446,           0.0099446
                  27,            0.031528,            0.020634,            0.011386,             0.73174,             0.73449,             0.76203,             0.52023,            0.032335,            0.018478,            0.021209,           0.0099401,           0.0099401,           0.0099401
                  28,            0.031433,            0.019011,           0.0095579,             0.80154,             0.70605,             0.78881,             0.53794,            0.031697,            0.017994,            0.017734,           0.0099354,           0.0099354,           0.0099354
                  29,            0.030009,            0.020994,           0.0097349,             0.78399,             0.72522,             0.80084,             0.57018,            0.032272,            0.018112,            0.017813,           0.0099305,           0.0099305,           0.0099305
                  30,            0.029819,             0.02126,            0.009108,             0.77125,             0.76319,             0.79834,             0.56308,            0.029648,            0.018088,            0.020582,           0.0099255,           0.0099255,           0.0099255
                  31,            0.029892,            0.019676,           0.0091082,             0.78639,             0.74346,             0.80778,             0.57605,            0.028502,            0.018272,            0.016774,           0.0099203,           0.0099203,           0.0099203
                  32,            0.027244,            0.019216,            0.008995,             0.83185,             0.69787,             0.80659,             0.57178,            0.031794,            0.018442,            0.016739,           0.0099149,           0.0099149,           0.0099149
                  33,            0.027883,            0.018448,           0.0083672,             0.78427,             0.74993,             0.81907,             0.59696,            0.028364,            0.018555,            0.014849,           0.0099093,           0.0099093,           0.0099093
                  34,            0.027361,            0.019129,           0.0076342,             0.74152,             0.78511,             0.79646,             0.55726,            0.028209,            0.016836,            0.016839,           0.0099036,           0.0099036,           0.0099036
                  35,            0.027294,            0.018665,           0.0073918,             0.77028,             0.76383,             0.78875,              0.5266,            0.032574,            0.018649,            0.016179,           0.0098977,           0.0098977,           0.0098977
                  36,            0.027682,            0.019979,           0.0078672,             0.84616,             0.71745,              0.7982,             0.53105,            0.030708,            0.019381,             0.01821,           0.0098916,           0.0098916,           0.0098916
                  37,            0.027359,            0.019592,           0.0070754,             0.83736,             0.77972,              0.8239,             0.59142,            0.027853,            0.018343,            0.016442,           0.0098854,           0.0098854,           0.0098854
                  38,            0.027807,            0.018825,           0.0067856,             0.80309,             0.81391,             0.82293,             0.57887,            0.028966,            0.019232,            0.013356,           0.0098789,           0.0098789,           0.0098789
                  39,            0.026845,            0.020381,           0.0067172,             0.77216,             0.73981,             0.79175,              0.5835,            0.027258,            0.018426,            0.019085,           0.0098723,           0.0098723,           0.0098723
                  40,            0.027325,            0.019548,            0.006833,               0.811,             0.81427,             0.82917,             0.60135,            0.028067,            0.017142,            0.014318,           0.0098656,           0.0098656,           0.0098656
                  41,            0.024391,            0.019091,           0.0066847,              0.8187,             0.76624,             0.81891,             0.59992,            0.027835,            0.016943,            0.015095,           0.0098586,           0.0098586,           0.0098586
                  42,            0.025103,            0.017725,           0.0061738,             0.84517,             0.76166,             0.83991,             0.62489,             0.02759,            0.017081,            0.014615,           0.0098515,           0.0098515,           0.0098515
                  43,            0.025246,            0.018456,           0.0061205,             0.80822,             0.76669,             0.81625,             0.60153,            0.027575,            0.017122,            0.015559,           0.0098442,           0.0098442,           0.0098442
                  44,            0.024873,            0.019084,           0.0060121,             0.80557,              0.7632,             0.80794,             0.56114,            0.029232,            0.017277,            0.017887,           0.0098368,           0.0098368,           0.0098368
                  45,            0.025009,            0.018421,           0.0065413,             0.78966,             0.77221,             0.80589,              0.5829,            0.027667,            0.017213,            0.015813,           0.0098291,           0.0098291,           0.0098291
                  46,            0.025761,            0.018254,           0.0060965,             0.82532,             0.74234,             0.81776,             0.59901,            0.027828,             0.01764,            0.016528,           0.0098213,           0.0098213,           0.0098213
                  47,            0.023886,            0.018872,           0.0064356,             0.80966,             0.73904,             0.80079,             0.58517,            0.027084,            0.017701,            0.017122,           0.0098133,           0.0098133,           0.0098133
                  48,             0.02404,            0.017848,           0.0064172,             0.83572,             0.73946,             0.81159,             0.60546,            0.027306,            0.017579,            0.016785,           0.0098052,           0.0098052,           0.0098052
                  49,            0.025011,            0.017001,           0.0059772,             0.82319,              0.7502,             0.80239,             0.59328,            0.027771,            0.018601,            0.016948,           0.0097969,           0.0097969,           0.0097969
                  50,            0.025264,            0.017302,           0.0055119,             0.79463,             0.74613,             0.79044,             0.58172,            0.031586,            0.019131,            0.018192,           0.0097884,           0.0097884,           0.0097884
                  51,            0.025458,            0.019092,           0.0058003,             0.79414,             0.77687,             0.80181,             0.58288,            0.028094,            0.018587,            0.015373,           0.0097798,           0.0097798,           0.0097798
                  52,            0.023617,            0.017545,           0.0056173,              0.8249,             0.77989,             0.82575,             0.59818,            0.027951,            0.018336,            0.017564,           0.0097709,           0.0097709,           0.0097709
                  53,            0.024713,            0.016622,           0.0051857,             0.84627,             0.76766,             0.82959,             0.60682,            0.028732,            0.018055,            0.014797,           0.0097619,           0.0097619,           0.0097619
                  54,            0.023647,            0.015609,           0.0046094,             0.85389,             0.76564,             0.82886,             0.61154,            0.026905,            0.018373,            0.015859,           0.0097528,           0.0097528,           0.0097528
                  55,            0.025226,            0.016319,           0.0054014,             0.83283,              0.7851,             0.81503,             0.61119,            0.026079,            0.017339,            0.015536,           0.0097435,           0.0097435,           0.0097435
                  56,            0.023937,            0.017487,           0.0049941,              0.8247,             0.80914,             0.84194,             0.61959,            0.027761,            0.016954,            0.013228,            0.009734,            0.009734,            0.009734
                  57,            0.023545,            0.017191,           0.0049108,               0.822,             0.77392,             0.81542,             0.60711,            0.026552,            0.018025,            0.014467,           0.0097243,           0.0097243,           0.0097243
                  58,             0.02393,            0.017286,           0.0049449,             0.77478,             0.81418,              0.8164,             0.61294,            0.026377,            0.018044,            0.015043,           0.0097145,           0.0097145,           0.0097145
                  59,            0.023957,             0.01684,           0.0044353,             0.83361,             0.77743,              0.8344,             0.60566,            0.027629,            0.017758,            0.014921,           0.0097045,           0.0097045,           0.0097045
                  60,            0.021248,            0.016027,           0.0043916,             0.76348,             0.81021,             0.80476,             0.59827,             0.02624,            0.017846,            0.017455,           0.0096943,           0.0096943,           0.0096943
                  61,            0.022076,            0.016322,           0.0049048,             0.85013,             0.74438,             0.81949,             0.60462,            0.026264,             0.01854,            0.016637,            0.009684,            0.009684,            0.009684
                  62,            0.022876,            0.017036,           0.0045622,             0.81348,             0.81454,             0.85013,             0.62493,            0.026769,            0.017308,             0.01285,           0.0096735,           0.0096735,           0.0096735
                  63,            0.024601,            0.017386,           0.0047804,             0.76648,             0.78347,             0.81062,             0.61123,            0.025896,            0.018013,            0.020402,           0.0096628,           0.0096628,           0.0096628
                  64,            0.021856,            0.016105,           0.0048063,              0.8543,             0.78874,             0.83887,             0.62372,             0.02694,            0.018149,            0.012489,            0.009652,            0.009652,            0.009652
                  65,            0.021983,            0.016127,           0.0044023,              0.8339,             0.78438,             0.83844,             0.62173,             0.02723,            0.018798,            0.018179,            0.009641,            0.009641,            0.009641
