               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10204,            0.055025,            0.054706,             0.11469,             0.26825,            0.072906,            0.020803,            0.081102,            0.044682,            0.054246,             0.00054,             0.00054,             0.09514
                   1,             0.06995,            0.045965,            0.052277,             0.12353,             0.38431,             0.09895,            0.047214,            0.059961,            0.031048,            0.054814,             0.00109,             0.00109,             0.09019
                   2,            0.054514,            0.034963,            0.051342,             0.12529,             0.56796,             0.13634,            0.072297,            0.045009,            0.024069,            0.052068,           0.0016399,           0.0016399,             0.08524
                   3,            0.062233,            0.032619,             0.05053,             0.10512,             0.53467,             0.11342,            0.034591,            0.054858,            0.021827,            0.051319,           0.0021898,           0.0021898,             0.08029
                   4,            0.054612,            0.028815,            0.050059,             0.12269,               0.591,             0.14299,            0.066899,            0.051866,            0.019726,            0.051251,           0.0027396,           0.0027396,             0.07534
                   5,            0.049532,             0.02647,            0.049843,             0.17763,             0.51953,             0.16087,            0.066327,            0.048842,            0.019614,            0.050934,           0.0032893,           0.0032893,            0.070389
                   6,            0.046273,            0.026773,            0.049352,             0.24816,             0.43225,             0.22236,             0.12055,            0.039653,            0.018299,            0.050426,           0.0038388,           0.0038388,            0.065439
                   7,            0.042563,            0.026463,            0.048562,             0.25405,             0.40688,             0.25391,              0.1372,            0.040092,            0.017944,            0.050355,           0.0043881,           0.0043881,            0.060488
                   8,            0.041159,            0.023173,             0.04667,             0.24843,             0.49656,             0.27593,             0.17299,            0.035049,            0.017422,             0.04916,           0.0049372,           0.0049372,            0.055537
                   9,            0.048095,            0.025392,            0.044835,             0.19921,             0.59247,             0.28107,             0.16709,            0.038647,            0.017485,            0.048134,           0.0054861,           0.0054861,            0.050586
                  10,            0.044959,            0.024257,            0.043579,             0.19384,             0.59836,             0.29166,              0.1275,            0.040732,            0.017337,            0.049444,           0.0060346,           0.0060346,            0.045635
                  11,            0.043234,            0.023122,            0.041948,             0.28097,             0.51373,             0.34281,             0.19176,            0.037088,            0.017349,            0.045933,           0.0065829,           0.0065829,            0.040683
                  12,            0.041772,            0.022496,            0.039179,             0.30229,             0.52624,             0.40154,               0.222,            0.038964,            0.018687,            0.044441,           0.0071309,           0.0071309,            0.035731
                  13,             0.03975,            0.022599,            0.036181,             0.27833,             0.59052,             0.35983,             0.22165,            0.035811,            0.017144,            0.045514,           0.0076785,           0.0076785,            0.030778
                  14,            0.039446,            0.021772,            0.035786,             0.32326,             0.56925,              0.4374,             0.26941,            0.036553,            0.017213,            0.040565,           0.0082257,           0.0082257,            0.025826
