               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10654,            0.049235,            0.055575,            0.066563,             0.12191,            0.035479,            0.008891,             0.08592,            0.045142,            0.057744,             0.00054,             0.00054,             0.09514
                   1,            0.072896,             0.05083,            0.053355,             0.10477,             0.42584,             0.10465,            0.040436,            0.063064,             0.03182,            0.055614,             0.00109,             0.00109,             0.09019
                   2,            0.058527,            0.035389,            0.051761,             0.11697,              0.5403,             0.13858,             0.06819,            0.054484,            0.025129,            0.053082,           0.0016399,           0.0016399,             0.08524
                   3,             0.06249,            0.032478,            0.050682,             0.13654,             0.33526,             0.13175,            0.061308,            0.050579,            0.023541,            0.051989,           0.0021898,           0.0021898,             0.08029
                   4,            0.055146,            0.028702,            0.050474,             0.13464,             0.73443,             0.16625,            0.088271,            0.044305,            0.021138,            0.052056,           0.0027396,           0.0027396,             0.07534
                   5,            0.050075,            0.027766,            0.049964,             0.12879,             0.61676,             0.15041,            0.075517,            0.041808,            0.019796,            0.052267,           0.0032893,           0.0032893,            0.070389
                   6,            0.048077,            0.027443,            0.049849,              0.1681,             0.53219,             0.18025,            0.086383,            0.038827,            0.018781,            0.051684,           0.0038388,           0.0038388,            0.065439
                   7,             0.04362,            0.025254,            0.049369,             0.21487,             0.49491,             0.21185,             0.10127,             0.04429,            0.018957,            0.050006,           0.0043881,           0.0043881,            0.060488
                   8,            0.041582,            0.025803,            0.047984,             0.20609,              0.6601,             0.26619,              0.1677,            0.034804,            0.018035,            0.048904,           0.0049372,           0.0049372,            0.055537
                   9,            0.046133,            0.024977,             0.04633,             0.20476,             0.56494,             0.23413,            0.084585,            0.044695,            0.018217,            0.049657,           0.0054861,           0.0054861,            0.050586
                  10,            0.045254,            0.024376,            0.045017,             0.25241,             0.40576,              0.2426,             0.11036,             0.04567,            0.018161,            0.047587,           0.0060346,           0.0060346,            0.045635
                  11,            0.043011,            0.023608,            0.043706,             0.24613,              0.5231,             0.29346,             0.18165,            0.035529,            0.017475,            0.046203,           0.0065829,           0.0065829,            0.040683
                  12,             0.04144,            0.023242,            0.042304,             0.25528,             0.53094,             0.30645,             0.18207,            0.036548,            0.017685,            0.045769,           0.0071309,           0.0071309,            0.035731
                  13,            0.039737,            0.021806,            0.041064,             0.30783,              0.5131,             0.35246,             0.19628,            0.035287,             0.01735,            0.046307,           0.0076785,           0.0076785,            0.030778
                  14,            0.038237,            0.023088,            0.039994,              0.3302,              0.5259,             0.38422,             0.23592,             0.03462,            0.018096,            0.044004,           0.0082257,           0.0082257,            0.025826
                  15,            0.042753,            0.024183,            0.038063,             0.27647,             0.59496,             0.38568,             0.23495,            0.037905,            0.018044,            0.042398,           0.0087724,           0.0087724,            0.020872
                  16,            0.041818,            0.022248,            0.037023,             0.34261,              0.5107,             0.42891,             0.22389,            0.038758,            0.018327,             0.04014,           0.0093188,           0.0093188,            0.015919
                  17,            0.041302,            0.023795,            0.034153,             0.30948,             0.60422,             0.41767,             0.22405,            0.037542,            0.017377,            0.040147,           0.0098646,           0.0098646,            0.010965
                  18,            0.037389,            0.022304,            0.032114,              0.2946,             0.57676,             0.39753,             0.19223,            0.040832,             0.02007,            0.046438,           0.0099713,           0.0099713,           0.0099713
                  19,            0.038273,             0.02313,            0.032488,             0.29989,             0.63174,             0.46549,             0.26777,            0.037277,            0.018758,            0.039499,           0.0099713,           0.0099713,           0.0099713
                  20,            0.035824,            0.023778,             0.03115,             0.38006,             0.62692,             0.47189,              0.3085,            0.033302,            0.018849,            0.038898,            0.009968,            0.009968,            0.009968
                  21,            0.032421,            0.021536,            0.027952,             0.45232,             0.55307,             0.54143,             0.35492,            0.032141,            0.018593,            0.036525,           0.0099645,           0.0099645,           0.0099645
                  22,            0.032807,            0.021073,            0.027614,             0.39417,             0.74716,             0.55041,              0.3705,            0.033202,            0.017368,            0.034591,           0.0099609,           0.0099609,           0.0099609
                  23,            0.032987,            0.021046,            0.027461,             0.45299,             0.59014,             0.55781,             0.36969,            0.032345,            0.018806,            0.035114,           0.0099571,           0.0099571,           0.0099571
                  24,            0.031719,            0.021541,            0.027289,             0.57113,             0.57086,             0.59971,             0.40669,              0.0306,            0.017904,             0.03475,           0.0099531,           0.0099531,           0.0099531
                  25,            0.029427,            0.021569,            0.024191,             0.49868,             0.62115,             0.59294,             0.42667,            0.028766,            0.017705,            0.033179,           0.0099489,           0.0099489,           0.0099489
                  26,            0.031328,            0.020536,             0.02266,              0.5074,             0.60219,             0.57646,             0.38498,            0.032644,            0.018588,            0.033281,           0.0099446,           0.0099446,           0.0099446
                  27,            0.030942,            0.020519,            0.021564,             0.50018,             0.61704,             0.60383,             0.42348,            0.030013,            0.018724,             0.03249,           0.0099401,           0.0099401,           0.0099401
                  28,             0.02901,            0.020535,            0.021556,             0.47585,             0.77495,             0.66189,             0.45881,             0.02947,            0.017589,             0.03073,           0.0099354,           0.0099354,           0.0099354
                  29,            0.030763,            0.021069,             0.01886,              0.5167,             0.73502,             0.63427,             0.44636,            0.029735,            0.017475,            0.029306,           0.0099305,           0.0099305,           0.0099305
