               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12634,            0.039786,            0.062633,           0.0095899,            0.010105,          0.00098901,          0.00020652,             0.11302,            0.035262,            0.060076,             0.00054,             0.00054,             0.09514
                   1,            0.093392,            0.051249,            0.055962,            0.074548,              0.3641,            0.069441,            0.023448,             0.08332,            0.038916,            0.058717,             0.00109,             0.00109,             0.09019
                   2,            0.069546,            0.043268,            0.053764,             0.10509,                0.37,            0.087905,             0.02937,            0.066336,            0.029449,            0.054526,           0.0016399,           0.0016399,             0.08524
                   3,             0.07099,            0.036587,            0.052099,            0.074443,             0.44631,            0.068821,            0.016301,            0.068645,              0.0261,            0.053432,           0.0021898,           0.0021898,             0.08029
                   4,             0.06496,            0.035952,            0.051306,             0.14458,             0.39623,             0.13628,            0.047683,            0.053304,            0.024903,            0.052447,           0.0027396,           0.0027396,             0.07534
                   5,            0.059609,            0.032162,            0.050975,            0.080402,              0.4796,            0.090895,            0.024461,            0.060282,            0.024585,            0.053221,           0.0032893,           0.0032893,            0.070389
                   6,            0.056171,             0.03164,            0.050678,              0.1107,             0.66265,             0.13544,            0.059426,            0.048682,            0.022912,            0.052591,           0.0038388,           0.0038388,            0.065439
                   7,            0.051354,            0.030588,            0.050553,             0.12846,               0.423,             0.12706,            0.058364,            0.051534,            0.022639,             0.05268,           0.0043881,           0.0043881,            0.060488
                   8,            0.047468,            0.028966,            0.050096,             0.12369,             0.86865,             0.15646,            0.076835,            0.042809,            0.022307,            0.053017,           0.0049372,           0.0049372,            0.055537
                   9,            0.052253,             0.02887,            0.050429,             0.12215,             0.55901,             0.14295,            0.063913,            0.048849,            0.020873,            0.052121,           0.0054861,           0.0054861,            0.050586
                  10,            0.049687,            0.027096,            0.050088,             0.12716,             0.74097,             0.15543,            0.080951,            0.045192,            0.020908,            0.052427,           0.0060346,           0.0060346,            0.045635
                  11,            0.046212,            0.028829,            0.049955,             0.13679,             0.75211,             0.16853,            0.078676,            0.043219,            0.020426,            0.052536,           0.0065829,           0.0065829,            0.040683
