               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11528,            0.044134,            0.056313,            0.036207,             0.14297,            0.024007,           0.0055445,            0.095581,            0.041176,             0.05659,             0.00054,             0.00054,             0.09514
                   1,            0.079823,            0.050446,            0.053948,            0.058628,             0.37042,            0.054343,            0.021881,               0.081,            0.032066,            0.055676,             0.00109,             0.00109,             0.09019
                   2,            0.062351,            0.036998,            0.051863,             0.11755,             0.62652,              0.1261,            0.067724,            0.051206,            0.025416,            0.052644,           0.0016399,           0.0016399,             0.08524
                   3,            0.066168,            0.035114,            0.051059,              0.0962,             0.60134,             0.10785,            0.046828,            0.056047,            0.024626,            0.053706,           0.0021898,           0.0021898,             0.08029
                   4,            0.057431,            0.031032,            0.050843,             0.11471,             0.65541,             0.13219,             0.06395,            0.045921,            0.023025,            0.051733,           0.0027396,           0.0027396,             0.07534
                   5,            0.052823,            0.029068,            0.050091,             0.15651,             0.43428,             0.13378,            0.067964,            0.046349,            0.021436,            0.052196,           0.0032893,           0.0032893,            0.070389
                   6,            0.048918,            0.029459,            0.050235,             0.14828,              0.5233,             0.14807,            0.077278,            0.043523,             0.02107,            0.051926,           0.0038388,           0.0038388,            0.065439
                   7,            0.045511,            0.026734,            0.049977,             0.12757,             0.72182,             0.15201,            0.076045,            0.044856,            0.019866,            0.051911,           0.0043881,           0.0043881,            0.060488
                   8,            0.042422,            0.025799,            0.049824,             0.12596,             0.87262,             0.16245,            0.093195,            0.037066,            0.021702,            0.051629,           0.0049372,           0.0049372,            0.055537
                   9,            0.048793,            0.028088,            0.049738,             0.15803,             0.48754,             0.16167,            0.078478,            0.041269,            0.018683,            0.051643,           0.0054861,           0.0054861,            0.050586
                  10,            0.044832,            0.024948,            0.049636,             0.15127,             0.69487,             0.16637,            0.094697,            0.040673,            0.018809,            0.051785,           0.0060346,           0.0060346,            0.045635
                  11,            0.044815,            0.024565,            0.049319,             0.16221,             0.68872,             0.18853,             0.10578,            0.036541,            0.018235,            0.051546,           0.0065829,           0.0065829,            0.040683
                  12,              0.0423,            0.025641,            0.049623,             0.15197,             0.66372,             0.18851,             0.10548,            0.036357,            0.018152,            0.051792,           0.0071309,           0.0071309,            0.035731
                  13,            0.039458,            0.023277,            0.049539,             0.16275,             0.57828,             0.19364,             0.11088,            0.039776,            0.018551,            0.051532,           0.0076785,           0.0076785,            0.030778
                  14,            0.038354,            0.023721,            0.048867,             0.19626,             0.56639,             0.21417,             0.14268,            0.032759,            0.018935,            0.051048,           0.0082257,           0.0082257,            0.025826
                  15,            0.040828,            0.024269,            0.048114,             0.19488,             0.53098,             0.23372,             0.13559,            0.038253,            0.018819,            0.049888,           0.0087724,           0.0087724,            0.020872
                  16,            0.040899,            0.023614,              0.0469,             0.19166,             0.54125,             0.23844,              0.1269,            0.039058,            0.018375,            0.049279,           0.0093188,           0.0093188,            0.015919
                  17,            0.039575,            0.024869,            0.044825,             0.21012,             0.75744,             0.29003,              0.1887,             0.03305,            0.018532,            0.048502,           0.0098646,           0.0098646,            0.010965
                  18,            0.037011,            0.023574,            0.043321,             0.20505,             0.68791,             0.29879,             0.17602,            0.036725,            0.018848,            0.049256,           0.0099713,           0.0099713,           0.0099713
                  19,            0.036794,            0.023191,              0.0412,             0.21139,             0.68641,              0.2978,             0.17178,            0.035337,            0.019328,            0.047299,           0.0099713,           0.0099713,           0.0099713
                  20,            0.036212,            0.025073,            0.041168,             0.23298,             0.55427,             0.28769,             0.17045,            0.035271,            0.020476,            0.045353,            0.009968,            0.009968,            0.009968
                  21,            0.034363,            0.024936,            0.039301,             0.27933,             0.54822,             0.32124,             0.19201,            0.033455,            0.020047,            0.046122,           0.0099645,           0.0099645,           0.0099645
                  22,            0.034092,            0.023176,            0.036643,             0.27956,             0.65563,             0.35131,             0.21557,            0.034472,            0.018946,            0.044879,           0.0099609,           0.0099609,           0.0099609
                  23,             0.03218,             0.02399,            0.037805,             0.31214,             0.47992,             0.35363,             0.23094,            0.032004,            0.018507,            0.044572,           0.0099571,           0.0099571,           0.0099571
                  24,            0.030911,            0.023647,            0.035675,             0.25577,             0.61287,             0.36244,              0.2395,            0.030577,            0.018243,            0.046481,           0.0099531,           0.0099531,           0.0099531
